,Year,District,Province,Spare,Length,Width,Amenities,Direction,Price
0,2022,274,1,105.0,21.0,5.0,0,0,1600.0
1,2022,274,1,107.0,21.4,5.0,1,0,7900.0
2,2022,17,1,103.0,19.0,4.8,0,0,4650.0
3,2022,268,1,90.0,18.0,5.0,0,0,1300.0
4,2022,4,1,66.0,14.0,4.7,0,0,5600.0
5,2022,275,1,271.0,33.0,8.0,1,0,2170.0
6,2022,268,1,30.0,10.0,3.0,1,2,2570.0
7,2022,276,1,746.0,30.0,25.0,0,0,10000.0
8,2022,16,1,67.0,17.0,4.0,0,0,938.0
9,2022,268,1,33.0,8.0,4.0,0,0,1980.0
10,2022,16,1,86.0,11.0,6.3,0,0,2029.9999999999998
11,2022,4,1,66.0,14.0,4.7,0,0,5600.0
12,2022,17,1,90.7,4.6,20.0,1,3,3250.0
13,2022,4,1,40.0,7.0,5.7,0,0,1800.0
14,2022,276,1,746.0,30.0,25.0,0,0,10000.0
15,2022,282,1,76.0,15.0,4.0,1,2,685.0
16,2022,269,1,90.0,16.0,5.5,1,3,1150.0
17,2022,20,1,40.0,8.0,5.0,1,0,1000.0
18,2022,6,1,150.0,21.428571428571427,7.0,0,0,42000.0
19,2022,268,1,65.0,14.0,4.5,0,0,9500.0
20,2022,17,1,50.0,13.0,4.0,0,0,1380.0
21,2022,4,1,45.0,10.0,4.5,0,0,3250.0
22,2022,17,1,57.0,13.0,4.75,0,0,2060.0
23,2022,1,1,90.0,18.0,5.0,0,0,1300.0
24,2022,268,1,50.0,10.0,5.0,0,0,5050.0
25,2022,5,1,250.0,25.0,10.0,0,0,200.0
26,2022,275,1,100.0,25.0,5.0,1,3,2500.0
27,2022,17,1,96.8,4.5,21.5,1,3,2320.0
28,2022,4,1,70.0,14.0,5.0,0,0,7000.0
29,2022,4,1,34.0,8.5,4.0,1,0,2300.0
30,2022,276,1,150.0,18.5,8.11,0,0,3300.0
31,2022,7,1,30.0,6.0,5.0,0,0,13000.0
32,2022,275,1,120.0,24.0,5.0,1,3,3500.0
33,2022,276,1,150.0,23.0,7.0,1,0,2250.0
34,2022,268,1,34.0,6.8,5.0,1,0,1950.0
35,2022,16,1,70.0,15.0,4.9,0,0,1190.0
36,2022,20,1,30.0,10.0,3.0,0,0,3960.0
37,2022,17,1,50.0,13.0,4.0,0,0,1380.0
38,2022,16,1,70.0,16.0,5.0,0,0,999.0
39,2022,268,1,30.0,8.5,3.4,0,0,1750.0
40,2022,276,1,146.0,29.0,5.0,0,0,4230.0
41,2022,276,1,280.0,50.0,6.0,0,0,2500.0
42,2022,2,1,88.0,9.9,9.0,0,0,15000.0
43,2022,16,1,76.0,19.0,4.0,0,0,1400.0
44,2022,250,1,100.0,20.0,5.0,0,0,3400.0
45,2022,276,1,494.0,49.0,10.0,1,0,7560.0
46,2022,21,1,261.0,35.0,8.0,0,0,14700.0
47,2022,276,1,136.0,27.0,5.0,1,0,2860.0
48,2022,276,1,370.0,37.0,10.0,1,0,5920.0
49,2022,282,1,346.0,15.0,23.0,1,0,2950.0
50,2022,269,1,60.0,12.0,5.0,1,0,900.0
51,2022,275,1,130.0,26.0,5.0,1,0,3250.0
52,2022,21,1,261.0,35.0,8.0,0,0,14800.0
53,2022,275,1,110.0,15.0,8.0,1,0,1700.0
54,2022,16,1,75.0,15.0,5.0,0,0,880.0
55,2022,276,1,95.0,18.94,5.0,1,0,2100.0
56,2022,17,1,60.0,13.0,4.1,0,0,2490.0
57,2022,17,1,47.0,12.0,3.95,0,0,1800.0
58,2022,17,1,96.0,20.0,4.8,1,3,5760.0
59,2022,17,1,52.0,13.0,4.0,0,3,1400.0
60,2022,17,1,42.0,9.2,4.8,1,2,2000.0
61,2022,17,1,47.0,12.0,4.0,0,0,1800.0
62,2022,16,1,42.0,10.0,4.0,0,0,777.0
63,2022,271,1,570.0,38.0,15.0,1,0,5200.0
64,2022,276,1,200.0,25.0,8.0,0,0,5900.0
65,2022,276,1,200.0,25.0,8.0,0,0,5900.0
66,2022,276,1,200.0,25.0,8.0,0,0,5900.0
67,2022,4,1,65.0,16.25,4.0,1,0,2650.0
68,2022,276,1,1514.0,50.0,30.0,0,0,5000.0
69,2022,276,1,500.0,50.0,10.0,1,0,6750.0
70,2022,21,1,53.0,12.0,8.0,1,3,3000.0
71,2022,4,1,209.0,19.0,11.0,0,0,35000.0
72,2022,16,1,70.0,14.0,5.0,0,0,1160.0
73,2022,20,1,45.0,10.0,4.2,0,0,2920.0
74,2022,269,1,189.0,15.0,12.95,1,0,2850.0
75,2022,16,1,52.0,12.0,4.0,0,0,1240.0
76,2022,9,1,270.0,27.0,10.0,0,0,42000.0
77,2022,17,1,43.0,10.0,4.5,1,3,2020.0
78,2022,18,1,40.0,12.658227848101266,3.16,1,0,4200.0
79,2022,268,1,50.0,12.5,4.0,0,0,5000.0
80,2022,268,1,50.0,12.5,4.0,0,0,2000.0
81,2022,5,1,140.0,28.0,5.0,0,0,13000.0
82,2022,271,1,1800.0,360.0,5.0,0,0,6500.0
83,2022,16,1,266.0,33.0,8.0,0,0,5320.0
84,2022,271,1,1437.0,287.4,5.0,0,0,2160.0
85,2022,18,1,41.0,8.2,5.0,0,0,1360.0
86,2022,276,1,200.0,33.0,6.0,0,0,3300.0
87,2022,276,1,129.0,20.0,6.5,0,0,1500.0
88,2022,4,1,81.0,19.3,4.2,0,0,5000.0
89,2022,16,1,90.0,20.0,4.5,0,0,2570.0
90,2022,16,1,52.0,10.0,5.0,0,0,850.0
91,2022,18,1,88.0,17.6,5.0,0,0,3800.0
92,2022,16,1,63.0,14.0,4.7,0,0,1120.0
93,2022,250,1,34.0,9.0,4.0,0,0,1800.0
94,2022,18,1,60.0,12.0,5.0,0,0,4300.0
95,2022,4,1,80.0,16.0,5.0,0,0,9400.0
96,2022,268,1,77.0,11.0,7.0,0,0,2400.0
97,2022,18,1,54.0,10.8,5.0,0,0,4100.0
98,2022,9,1,42.0,8.4,5.0,0,0,5450.0
99,2022,268,1,35.0,7.0,5.0,0,0,1290.0
100,2022,4,1,107.0,18.0,6.0,0,0,9000.0
101,2022,16,1,50.0,11.0,4.6,0,0,1010.0
102,2022,268,1,77.0,11.0,7.0,0,0,2400.0
103,2022,18,1,110.0,22.0,5.0,0,0,12000.0
104,2022,18,1,69.0,13.8,5.0,0,0,3660.0
105,2022,17,1,63.0,5.0,13.0,1,0,1130.0
106,2022,18,1,40.0,8.0,5.0,0,0,1360.0
107,2022,4,1,45.0,9.0,5.0,0,0,5400.0
108,2022,6,1,80.0,16.0,5.0,0,0,12500.0
109,2022,17,1,40.0,10.0,4.0,0,0,1100.0
110,2022,16,1,52.0,13.0,4.0,0,0,850.0
111,2022,9,1,450.0,90.0,5.0,0,0,27500.0
112,2022,17,1,100.0,20.0,5.0,0,0,6100.0
113,2022,17,1,43.0,12.0,4.0,0,0,1600.0
114,2022,282,1,770.0,22.0,20.0,1,0,5390.0
115,2022,274,1,75.0,12.5,6.0,0,0,6250.0
116,2022,18,1,70.0,14.0,5.0,0,0,1160.0
117,2022,282,1,415.0,29.0,13.0,1,2,6500.0
118,2022,18,1,160.0,17.8,9.0,1,0,17000.0
119,2022,1,1,90.0,18.0,5.0,0,0,1300.0
120,2022,268,1,30.0,8.0,3.72,0,0,1780.0
121,2022,4,1,53.0,13.0,4.0,1,0,3290.0
122,2022,282,1,90.0,10.0,9.0,0,0,2000.0
123,2022,17,1,43.0,11.0,4.0,0,0,1400.0
124,2022,250,1,68.0,15.0,4.5,0,4,1290.0
125,2022,268,1,68.0,12.4,5.5,0,0,6700.0
126,2022,4,1,45.0,8.4,5.4,0,0,6000.0
127,2022,5,1,250.0,25.0,10.0,0,0,200.0
128,2022,276,1,234.0,30.0,8.0,1,0,4210.0
129,2022,16,1,75.0,15.0,5.0,0,0,880.0
130,2022,4,1,90.0,18.0,5.0,0,0,11500.0
131,2022,18,1,30.0,6.0,5.0,0,0,1500.0
132,2022,250,1,120.0,20.0,6.0,1,0,4500.0
133,2022,6,1,150.0,30.0,5.0,0,0,49000.0
134,2022,18,1,54.0,10.8,5.0,0,0,2850.0
135,2022,5,1,250.0,25.0,10.0,0,0,200.0
136,2022,20,1,45.0,9.0,5.0,0,0,2800.0
137,2022,276,1,125.0,25.0,5.0,0,0,2500.0
138,2022,17,1,109.2,21.0,5.2,1,2,2680.0
139,2022,4,1,35.0,11.0,3.2,0,0,2350.0
140,2022,4,1,42.0,12.0,3.5,1,0,3450.0
141,2022,17,1,71.0,14.0,5.0,0,0,2600.0
142,2022,17,1,71.0,14.0,5.0,0,0,2600.0
143,2022,276,1,140.0,23.0,6.0,0,0,2500.0
144,2022,276,1,197.0,33.0,6.0,0,0,3300.0
145,2022,4,1,232.0,27.95180722891566,8.3,0,0,5900.0
146,2022,276,1,60.0,12.0,5.0,1,0,1020.0
147,2022,276,1,494.0,48.0,10.0,1,0,7400.0
148,2022,276,1,390.0,48.0,8.0,1,0,5380.0
149,2022,6,1,150.0,21.428571428571427,7.0,0,0,42000.0
150,2022,17,1,51.0,12.0,4.0,0,0,1530.0
151,2022,17,1,46.0,11.0,4.0,0,0,1790.0
152,2022,16,1,68.0,17.0,4.0,0,0,1020.0
153,2022,274,1,110.0,22.0,5.0,0,0,4000.0
154,2022,279,1,39.5,7.9,5.0,1,0,270.0
155,2022,2,1,1000.0,40.0,25.0,1,0,400.0
156,2022,282,1,132.0,22.0,6.0,1,0,900.0
157,2022,250,1,80.0,20.0,4.0,0,0,6560.0
