,Year,District,Province,Spare,Length,Width,Amenities,Direction,Price
0,2022,274,1,105.0,21.0,5.0,0,0,1.6
1,2022,274,1,107.0,21.4,5.0,1,0,7.9
2,2022,17,1,103.0,19.0,4.8,0,0,4.65
3,2022,268,1,90.0,18.0,5.0,0,0,1.3
4,2022,4,1,66.0,14.0,4.7,0,0,5.6
5,2022,275,1,271.0,33.0,8.0,1,0,2.17
6,2022,268,1,30.0,10.0,3.0,1,2,2.57
7,2022,276,1,746.0,30.0,25.0,0,0,10.0
8,2022,16,1,67.0,17.0,4.0,0,0,0.938
9,2022,268,1,33.0,8.0,4.0,0,0,1.98
10,2022,16,1,86.0,11.0,6.3,0,0,2.03
11,2022,4,1,66.0,14.0,4.7,0,0,5.6
12,2022,17,1,90.7,4.6,20.0,1,3,3.25
13,2022,4,1,40.0,7.0,5.7,0,0,1.8
14,2022,276,1,746.0,30.0,25.0,0,0,10.0
15,2022,282,1,76.0,15.0,4.0,1,2,0.685
16,2022,269,1,90.0,16.0,5.5,1,3,1.15
17,2022,20,1,40.0,8.0,5.0,1,0,1.0
18,2022,6,1,150.0,21.428571428571427,7.0,0,0,42.0
19,2022,268,1,65.0,14.0,4.5,0,0,9.5
20,2022,17,1,50.0,13.0,4.0,0,0,1.38
21,2022,4,1,45.0,10.0,4.5,0,0,3.25
22,2022,17,1,57.0,13.0,4.75,0,0,2.06
23,2022,1,1,90.0,18.0,5.0,0,0,1.3
24,2022,268,1,50.0,10.0,5.0,0,0,5.05
25,2022,5,1,250.0,25.0,10.0,0,0,0.2
26,2022,275,1,100.0,25.0,5.0,1,3,2.5
27,2022,17,1,96.8,4.5,21.5,1,3,2.32
28,2022,4,1,70.0,14.0,5.0,0,0,7.0
29,2022,4,1,34.0,8.5,4.0,1,0,2.3
30,2022,276,1,150.0,18.5,8.11,0,0,3.3
31,2022,7,1,30.0,6.0,5.0,0,0,13.0
32,2022,275,1,120.0,24.0,5.0,1,3,3.5
33,2022,276,1,150.0,23.0,7.0,1,0,2.25
34,2022,268,1,34.0,6.8,5.0,1,0,1.95
35,2022,16,1,70.0,15.0,4.9,0,0,1.19
36,2022,20,1,30.0,10.0,3.0,0,0,3.96
37,2022,17,1,50.0,13.0,4.0,0,0,1.38
38,2022,16,1,70.0,16.0,5.0,0,0,0.999
39,2022,268,1,30.0,8.5,3.4,0,0,1.75
40,2022,276,1,146.0,29.0,5.0,0,0,4.23
41,2022,276,1,280.0,50.0,6.0,0,0,2.5
42,2022,2,1,88.0,9.9,9.0,0,0,15.0
43,2022,16,1,76.0,19.0,4.0,0,0,1.4
44,2022,250,1,100.0,20.0,5.0,0,0,3.4
