,STT,Tỉnh thành
0,1,An Giang
1,2,Bà Rịa - Vũng Tàu
2,3,Bắc Giang
3,4,Bắc Kạn
4,5,Bạc Liêu
5,6,Bắc Ninh
6,7,Bến Tre
7,8,Bình Định
8,9,Bình Dương
9,10,Bình Phước
10,11,Bình Thuận
11,12,Cà Mau
12,13,Cần Thơ
13,14,Cao Bằng
14,15,Đà Nẵng
15,16,Đắk Lắk
16,17,Đắk Nông
17,18,Điện Biên
18,19,Đồng Nai
19,20,Đồng Tháp
20,21,Gia Lai
21,22,Hà Giang
22,23,Hà Nam
23,24,Hà Nội
24,25,Hà Tĩnh
25,26,Hải Dương
26,27,Hải Phòng
27,28,Hậu Giang
28,29,Hòa Bình
29,30,Hưng Yên
30,31,Khánh Hòa
31,32,Kiên Giang
32,33,Kon Tum
33,34,Lai Châu
34,35,Lâm Đồng
35,36,Lạng Sơn
36,37,Lào Cai
37,38,Long An
38,39,Nam Định
39,40,Nghệ An
40,41,Ninh Bình
41,42,Ninh Thuận
42,43,Phú Thọ
43,44,Phú Yên
44,45,Quảng Bình
45,46,Quảng Nam
46,47,Quảng Ngãi
47,48,Quảng Ninh
48,49,Quảng Trị
49,50,Sóc Trăng
50,51,Sơn La
51,52,Tây Ninh
52,53,Thái Bình
53,54,Thái Nguyên
54,55,Thanh Hóa
55,56,Thừa Thiên Huế
56,57,Tiền Giang
57,58,Thành phố Hồ Chí Minh
58,59,Trà Vinh
59,60,Tuyên Quang
60,61,Vĩnh Long
61,62,Vĩnh Phúc
62,63,Yên Bái
